id,Year,name,fuel,capex,fom,vom,lifetime,initial_capacity_lifetime,discount_rate,heat_rate_base,heat_rate_incr,unit_size,node,max_build,min_build,initial_capacity,line,unit_type,scenarios,near_optimum,range_group,min_load_pct,ramp_rate_pct,start_cost_per_mw,retrofit_group,retrofit_cap
37,2026,wind_apb1,wind,1640.4,42.0,0.0,27,27,0.1,0,0.0,0.001,APB1,5.501,0,0.0,wind_connection,wind,"default,ce_2025_2060,ce_more_baseload",True,Wind,,,,,
38,2027,wind_apb1,wind,1545.8,42.0,0.0,27,27,0.1,0,0.0,0.001,APB1,5.501,0,0.0,wind_connection,wind,"default,ce_2025_2060,ce_more_baseload",True,Wind,,,,,
39,2028,wind_apb1,wind,1451.2,42.0,0.0,27,27,0.1,0,0.0,0.001,APB1,5.501,0,0.0,wind_connection,wind,"default,ce_2025_2060,ce_more_baseload",True,Wind,,,,,
40,2029,wind_apb1,wind,1356.6,42.0,0.0,27,27,0.1,0,0.0,0.001,APB1,5.501,0,0.0,wind_connection,wind,"default,ce_2025_2060,ce_more_baseload",True,Wind,,,,,
41,2030,wind_apb1,wind,1262.0,42.0,0.0,27,27,0.1,0,0.0,0.001,APB1,5.501,0,0.0,wind_connection,wind,"default,ce_2025_2060,ce_more_baseload",True,Wind,,,,,
42,2031,wind_apb1,wind,1248.9,42.0,0.0,27,27,0.1,0,0.0,0.001,APB1,5.501,0,0.0,wind_connection,wind,"default,ce_2025_2060,ce_more_baseload",True,Wind,,,,,
43,2032,wind_apb1,wind,1235.8,42.0,0.0,27,27,0.1,0,0.0,0.001,APB1,5.501,0,0.0,wind_connection,wind,"default,ce_2025_2060,ce_more_baseload",True,Wind,,,,,
44,2033,wind_apb1,wind,1222.7,42.0,0.0,27,27,0.1,0,0.0,0.001,APB1,5.501,0,0.0,wind_connection,wind,"default,ce_2025_2060,ce_more_baseload",True,Wind,,,,,
45,2034,wind_apb1,wind,1209.6,42.0,0.0,27,27,0.1,0,0.0,0.001,APB1,5.501,0,0.0,wind_connection,wind,"default,ce_2025_2060,ce_more_baseload",True,Wind,,,,,
46,2035,wind_apb1,wind,1196.5,42.0,0.0,27,27,0.1,0,0.0,0.001,APB1,5.501,0,0.0,wind_connection,wind,"default,ce_2025_2060,ce_more_baseload",True,Wind,,,,,
47,2036,wind_apb1,wind,1183.4,42.0,0.0,27,27,0.1,0,0.0,0.001,APB1,5.501,0,0.0,wind_connection,wind,"default,ce_2025_2060,ce_more_baseload",True,Wind,,,,,
48,2037,wind_apb1,wind,1170.3,42.0,0.0,27,27,0.1,0,0.0,0.001,APB1,5.501,0,0.0,wind_connection,wind,"default,ce_2025_2060,ce_more_baseload",True,Wind,,,,,
49,2038,wind_apb1,wind,1157.2,42.0,0.0,27,27,0.1,0,0.0,0.001,APB1,5.501,0,0.0,wind_connection,wind,"default,ce_2025_2060,ce_more_baseload",True,Wind,,,,,
50,2039,wind_apb1,wind,1144.1,42.0,0.0,27,27,0.1,0,0.0,0.001,APB1,5.501,0,0.0,wind_connection,wind,"default,ce_2025_2060,ce_more_baseload",True,Wind,,,,,
51,2040,wind_apb1,wind,1131.0,42.0,0.0,27,27,0.1,0,0.0,0.001,APB1,5.501,0,0.0,wind_connection,wind,"default,ce_2025_2060,ce_more_baseload",True,Wind,,,,,
52,2041,wind_apb1,wind,1117.8,42.0,0.0,27,27,0.1,0,0.0,0.001,APB1,5.501,0,0.0,wind_connection,wind,"default,ce_2025_2060,ce_more_baseload",True,Wind,,,,,
53,2042,wind_apb1,wind,1104.6,42.0,0.0,27,27,0.1,0,0.0,0.001,APB1,5.501,0,0.0,wind_connection,wind,"default,ce_2025_2060,ce_more_baseload",True,Wind,,,,,
54,2043,wind_apb1,wind,1091.4,42.0,0.0,27,27,0.1,0,0.0,0.001,APB1,5.501,0,0.0,wind_connection,wind,"default,ce_2025_2060,ce_more_baseload",True,Wind,,,,,
55,2044,wind_apb1,wind,1078.2,42.0,0.0,27,27,0.1,0,0.0,0.001,APB1,5.501,0,0.0,wind_connection,wind,"default,ce_2025_2060,ce_more_baseload",True,Wind,,,,,
56,2045,wind_apb1,wind,1065.0,42.0,0.0,27,27,0.1,0,0.0,0.001,APB1,5.501,0,0.0,wind_connection,wind,"default,ce_2025_2060,ce_more_baseload",True,Wind,,,,,
57,2046,wind_apb1,wind,1051.8,42.0,0.0,27,27,0.1,0,0.0,0.001,APB1,5.501,0,0.0,wind_connection,wind,"default,ce_2025_2060,ce_more_baseload",True,Wind,,,,,
58,2047,wind_apb1,wind,1038.6,42.0,0.0,27,27,0.1,0,0.0,0.001,APB1,5.501,0,0.0,wind_connection,wind,"default,ce_2025_2060,ce_more_baseload",True,Wind,,,,,
59,2048,wind_apb1,wind,1025.4,42.0,0.0,27,27,0.1,0,0.0,0.001,APB1,5.501,0,0.0,wind_connection,wind,"default,ce_2025_2060,ce_more_baseload",True,Wind,,,,,
60,2049,wind_apb1,wind,1012.2,42.0,0.0,27,27,0.1,0,0.0,0.001,APB1,5.501,0,0.0,wind_connection,wind,"default,ce_2025_2060,ce_more_baseload",True,Wind,,,,,
61,2050,wind_apb1,wind,999.0,42.0,0.0,27,27,0.1,0,0.0,0.001,APB1,5.501,0,0.0,wind_connection,wind,"default,ce_2025_2060,ce_more_baseload",True,Wind,,,,,
62,2051,wind_apb1,wind,987.4,42.0,0.0,27,27,0.1,0,0.0,0.001,APB1,5.501,0,0.0,wind_connection,wind,"default,ce_2025_2060,ce_more_baseload",True,Wind,,,,,
63,2052,wind_apb1,wind,975.8,42.0,0.0,27,27,0.1,0,0.0,0.001,APB1,5.501,0,0.0,wind_connection,wind,"default,ce_2025_2060,ce_more_baseload",True,Wind,,,,,
64,2053,wind_apb1,wind,964.2,42.0,0.0,27,27,0.1,0,0.0,0.001,APB1,5.501,0,0.0,wind_connection,wind,"default,ce_2025_2060,ce_more_baseload",True,Wind,,,,,
65,2054,wind_apb1,wind,952.6,42.0,0.0,27,27,0.1,0,0.0,0.001,APB1,5.501,0,0.0,wind_connection,wind,"default,ce_2025_2060,ce_more_baseload",True,Wind,,,,,
66,2055,wind_apb1,wind,941.0,42.0,0.0,27,27,0.1,0,0.0,0.001,APB1,5.501,0,0.0,wind_connection,wind,"default,ce_2025_2060,ce_more_baseload",True,Wind,,,,,
67,2056,wind_apb1,wind,929.4,42.0,0.0,27,27,0.1,0,0.0,0.001,APB1,5.501,0,0.0,wind_connection,wind,"default,ce_2025_2060,ce_more_baseload",True,Wind,,,,,
68,2057,wind_apb1,wind,917.8,42.0,0.0,27,27,0.1,0,0.0,0.001,APB1,5.501,0,0.0,wind_connection,wind,"default,ce_2025_2060,ce_more_baseload",True,Wind,,,,,
69,2058,wind_apb1,wind,906.2,42.0,0.0,27,27,0.1,0,0.0,0.001,APB1,5.501,0,0.0,wind_connection,wind,"default,ce_2025_2060,ce_more_baseload",True,Wind,,,,,
70,2059,wind_apb1,wind,894.6,42.0,0.0,27,27,0.1,0,0.0,0.001,APB1,5.501,0,0.0,wind_connection,wind,"default,ce_2025_2060,ce_more_baseload",True,Wind,,,,,
71,2060,wind_apb1,wind,883.0,42.0,0.0,27,27,0.1,0,0.0,0.001,APB1,5.501,0,0.0,wind_connection,wind,"default,ce_2025_2060,ce_more_baseload",True,Wind,,,,,
72,2025,hydro_apb1,water,2314.0,45.0,0.79,50,50,0.1,0,0.0,0.05,APB1,0.018,0,0.0,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.3,,,
73,2026,hydro_apb1,water,2295.0,45.0,0.79,50,50,0.1,0,0.0,0.05,APB1,0.018,0,0.0,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.3,,,
74,2027,hydro_apb1,water,2276.0,45.0,0.79,50,50,0.1,0,0.0,0.05,APB1,0.018,0,0.0,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.3,,,
75,2028,hydro_apb1,water,2257.0,45.0,0.79,50,50,0.1,0,0.0,0.05,APB1,0.018,0,0.0,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.3,,,
76,2029,hydro_apb1,water,2238.0,45.0,0.79,50,50,0.1,0,0.0,0.05,APB1,0.018,0,0.0,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.3,,,
77,2030,hydro_apb1,water,2219.0,45.0,0.79,50,50,0.1,0,0.0,0.05,APB1,0.018,0,0.0,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.3,,,
78,2031,hydro_apb1,water,2211.1,45.0,0.79,50,50,0.1,0,0.0,0.05,APB1,0.018,0,0.0,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.3,,,
79,2032,hydro_apb1,water,2203.2,45.0,0.79,50,50,0.1,0,0.0,0.05,APB1,0.018,0,0.0,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.3,,,
80,2033,hydro_apb1,water,2195.3,45.0,0.79,50,50,0.1,0,0.0,0.05,APB1,0.018,0,0.0,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.3,,,
81,2034,hydro_apb1,water,2187.4,45.0,0.79,50,50,0.1,0,0.0,0.05,APB1,0.018,0,0.0,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.3,,,
82,2035,hydro_apb1,water,2179.5,45.0,0.79,50,50,0.1,0,0.0,0.05,APB1,0.018,0,0.0,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.3,,,
83,2036,hydro_apb1,water,2171.6,45.0,0.79,50,50,0.1,0,0.0,0.05,APB1,0.018,0,0.0,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.3,,,
84,2037,hydro_apb1,water,2163.7,45.0,0.79,50,50,0.1,0,0.0,0.05,APB1,0.018,0,0.0,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.3,,,
85,2038,hydro_apb1,water,2155.8,45.0,0.79,50,50,0.1,0,0.0,0.05,APB1,0.018,0,0.0,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.3,,,
86,2039,hydro_apb1,water,2147.9,45.0,0.79,50,50,0.1,0,0.0,0.05,APB1,0.018,0,0.0,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.3,,,
87,2040,hydro_apb1,water,2140.0,45.0,0.79,50,50,0.1,0,0.0,0.05,APB1,0.018,0,0.0,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.3,,,
88,2041,hydro_apb1,water,2132.1,45.0,0.79,50,50,0.1,0,0.0,0.05,APB1,0.018,0,0.0,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.3,,,
89,2042,hydro_apb1,water,2124.2,45.0,0.79,50,50,0.1,0,0.0,0.05,APB1,0.018,0,0.0,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.3,,,
90,2043,hydro_apb1,water,2116.3,45.0,0.79,50,50,0.1,0,0.0,0.05,APB1,0.018,0,0.0,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.3,,,
91,2044,hydro_apb1,water,2108.4,45.0,0.79,50,50,0.1,0,0.0,0.05,APB1,0.018,0,0.0,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.3,,,
92,2045,hydro_apb1,water,2100.5,45.0,0.79,50,50,0.1,0,0.0,0.05,APB1,0.018,0,0.0,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.3,,,
93,2046,hydro_apb1,water,2092.6,45.0,0.79,50,50,0.1,0,0.0,0.05,APB1,0.018,0,0.0,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.3,,,
94,2047,hydro_apb1,water,2084.7,45.0,0.79,50,50,0.1,0,0.0,0.05,APB1,0.018,0,0.0,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.3,,,
95,2048,hydro_apb1,water,2076.8,45.0,0.79,50,50,0.1,0,0.0,0.05,APB1,0.018,0,0.0,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.3,,,
96,2049,hydro_apb1,water,2068.9,45.0,0.79,50,50,0.1,0,0.0,0.05,APB1,0.018,0,0.0,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.3,,,
97,2050,hydro_apb1,water,2061.0,45.0,0.79,50,50,0.1,0,0.0,0.05,APB1,0.018,0,0.0,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.3,,,
98,2051,hydro_apb1,water,2053.4,45.0,0.79,50,50,0.1,0,0.0,0.05,APB1,0.018,0,0.0,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.3,,,
99,2052,hydro_apb1,water,2045.8,45.0,0.79,50,50,0.1,0,0.0,0.05,APB1,0.018,0,0.0,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.3,,,
100,2053,hydro_apb1,water,2038.2,45.0,0.79,50,50,0.1,0,0.0,0.05,APB1,0.018,0,0.0,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.3,,,
101,2054,hydro_apb1,water,2030.6,45.0,0.79,50,50,0.1,0,0.0,0.05,APB1,0.018,0,0.0,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.3,,,
102,2055,hydro_apb1,water,2023.0,45.0,0.79,50,50,0.1,0,0.0,0.05,APB1,0.018,0,0.0,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.3,,,
103,2056,hydro_apb1,water,2015.4,45.0,0.79,50,50,0.1,0,0.0,0.05,APB1,0.018,0,0.0,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.3,,,
104,2057,hydro_apb1,water,2007.8,45.0,0.79,50,50,0.1,0,0.0,0.05,APB1,0.018,0,0.0,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.3,,,
105,2058,hydro_apb1,water,2000.2,45.0,0.79,50,50,0.1,0,0.0,0.05,APB1,0.018,0,0.0,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.3,,,
106,2059,hydro_apb1,water,1992.6,45.0,0.79,50,50,0.1,0,0.0,0.05,APB1,0.018,0,0.0,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.3,,,
107,2060,hydro_apb1,water,1985.0,45.0,0.79,50,50,0.1,0,0.0,0.05,APB1,0.018,0,0.0,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.3,,,
108,2025,micro_hydro_apb1,water,2629.0,50.0,0.6,50,50,0.1,0,0.0,0.01,APB1,0.0,0,0.0553,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.5,,,
109,2026,micro_hydro_apb1,water,2608.0,50.0,0.6,50,50,0.1,0,0.0,0.01,APB1,0.0,0,0.0553,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.5,,,
110,2027,micro_hydro_apb1,water,2587.0,50.0,0.6,50,50,0.1,0,0.0,0.01,APB1,0.0,0,0.0553,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.5,,,
111,2028,micro_hydro_apb1,water,2566.0,50.0,0.6,50,50,0.1,0,0.0,0.01,APB1,0.0,0,0.0553,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.5,,,
112,2029,micro_hydro_apb1,water,2545.0,50.0,0.6,50,50,0.1,0,0.0,0.01,APB1,0.0,0,0.0553,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.5,,,
113,2030,micro_hydro_apb1,water,2524.0,50.0,0.6,50,50,0.1,0,0.0,0.01,APB1,0.0,0,0.0553,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.5,,,
114,2031,micro_hydro_apb1,water,2515.1,50.0,0.6,50,50,0.1,0,0.0,0.01,APB1,0.0,0,0.0553,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.5,,,
115,2032,micro_hydro_apb1,water,2506.2,50.0,0.6,50,50,0.1,0,0.0,0.01,APB1,0.0,0,0.0553,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.5,,,
116,2033,micro_hydro_apb1,water,2497.3,50.0,0.6,50,50,0.1,0,0.0,0.01,APB1,0.0,0,0.0553,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.5,,,
117,2034,micro_hydro_apb1,water,2488.4,50.0,0.6,50,50,0.1,0,0.0,0.01,APB1,0.0,0,0.0553,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.5,,,
118,2035,micro_hydro_apb1,water,2479.5,50.0,0.6,50,50,0.1,0,0.0,0.01,APB1,0.0,0,0.0553,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.5,,,
119,2036,micro_hydro_apb1,water,2470.6,50.0,0.6,50,50,0.1,0,0.0,0.01,APB1,0.0,0,0.0553,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.5,,,
120,2037,micro_hydro_apb1,water,2461.7,50.0,0.6,50,50,0.1,0,0.0,0.01,APB1,0.0,0,0.0553,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.5,,,
121,2038,micro_hydro_apb1,water,2452.8,50.0,0.6,50,50,0.1,0,0.0,0.01,APB1,0.0,0,0.0553,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.5,,,
122,2039,micro_hydro_apb1,water,2443.9,50.0,0.6,50,50,0.1,0,0.0,0.01,APB1,0.0,0,0.0553,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.5,,,
123,2040,micro_hydro_apb1,water,2435.0,50.0,0.6,50,50,0.1,0,0.0,0.01,APB1,0.0,0,0.0553,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.5,,,
124,2041,micro_hydro_apb1,water,2426.0,50.0,0.6,50,50,0.1,0,0.0,0.01,APB1,0.0,0,0.0553,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.5,,,
125,2042,micro_hydro_apb1,water,2417.0,50.0,0.6,50,50,0.1,0,0.0,0.01,APB1,0.0,0,0.0553,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.5,,,
126,2043,micro_hydro_apb1,water,2408.0,50.0,0.6,50,50,0.1,0,0.0,0.01,APB1,0.0,0,0.0553,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.5,,,
127,2044,micro_hydro_apb1,water,2399.0,50.0,0.6,50,50,0.1,0,0.0,0.01,APB1,0.0,0,0.0553,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.5,,,
128,2045,micro_hydro_apb1,water,2390.0,50.0,0.6,50,50,0.1,0,0.0,0.01,APB1,0.0,0,0.0553,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.5,,,
129,2046,micro_hydro_apb1,water,2381.0,50.0,0.6,50,50,0.1,0,0.0,0.01,APB1,0.0,0,0.0553,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.5,,,
130,2047,micro_hydro_apb1,water,2372.0,50.0,0.6,50,50,0.1,0,0.0,0.01,APB1,0.0,0,0.0553,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.5,,,
131,2048,micro_hydro_apb1,water,2363.0,50.0,0.6,50,50,0.1,0,0.0,0.01,APB1,0.0,0,0.0553,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.5,,,
132,2049,micro_hydro_apb1,water,2354.0,50.0,0.6,50,50,0.1,0,0.0,0.01,APB1,0.0,0,0.0553,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.5,,,
133,2050,micro_hydro_apb1,water,2345.0,50.0,0.6,50,50,0.1,0,0.0,0.01,APB1,0.0,0,0.0553,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.5,,,
134,2051,micro_hydro_apb1,water,2336.4,50.0,0.6,50,50,0.1,0,0.0,0.01,APB1,0.0,0,0.0553,other_connections,flexible,"default,ce_2025_2060,ce_more_baseload",False,,,0.5,,,
